Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
641;16170;"Journal of African Law";journal;"00218553, 14643731";0,130;Q3;19;24;92;693;23;87;0,31;28,88;United Kingdom;Western Europe;"Cambridge University Press";"1957-2000, 2003-2022";"Law (Q3)";"Social Sciences"
642;21100265065;"AFTE Journal";journal;"10489959";0,129;Q4;10;6;57;68;5;53;0,11;11,33;United States;Northern America;"Association of Firearm and Tool Mark Examiners";"2013-2022";"Health (social science) (Q4); Law (Q4); Mechanics of Materials (Q4); Safety, Risk, Reliability and Quality (Q4)";"Engineering; Social Sciences"
643;21100401234;"Anuario Mexicano de Derecho Internacional";journal;"18704654";0,129;Q4;6;32;74;848;6;74;0,07;26,50;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"2014-2021";"Law (Q4)";"Social Sciences"
644;21100824428;"Hungarian Journal of Legal Studies";journal;"24985473";0,129;Q4;4;19;51;948;14;49;0,33;49,89;Hungary;Eastern Europe;"Akademiai Kiado";"2016-2022";"Law (Q4)";"Social Sciences"
645;21100935790;"Journal of Holocaust Research";journal;"25785656";0,129;Q4;3;25;62;0;15;56;0,19;0,00;United States;Northern America;"Taylor and Francis Inc.";"2019-2022";"History (Q2); Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
646;21100811504;"Rivista di Filosofia del Diritto";journal;"2280482X";0,129;Q4;5;1;81;56;18;77;0,23;56,00;Italy;Western Europe;"Societa Editrice Il Mulino";"2016-2021";"Philosophy (Q3); Law (Q4)";"Arts and Humanities; Social Sciences"
647;145712;"Statute Law Review";journal;"01443593";0,129;Q4;12;15;78;1140;18;70;0,22;76,00;United Kingdom;Western Europe;"Oxford University Press";"1980-2022";"Law (Q4)";"Social Sciences"
648;21100900135;"Journal of International and Comparative Law";journal;"23133775";0,128;Q4;3;15;58;0;21;58;0,45;0,00;Hong Kong;Asiatic Region;"Sweet and Maxwell-Thomson Reuters";"2018-2022";"Law (Q4)";"Social Sciences"
649;19700169117;"Social History of Alcohol and Drugs";journal;"26407329, 19308418";0,128;Q4;7;12;42;409;13;37;0,41;34,08;United States;Northern America;"University of Chicago Press";"2005-2022";"History (Q2); Cultural Studies (Q3); Law (Q4); Public Health, Environmental and Occupational Health (Q4)";"Arts and Humanities; Medicine; Social Sciences"
650;21100920870;"Verwaltung";journal;"18655211, 00424498";0,128;Q4;3;8;55;784;6;55;0,14;98,00;Germany;Western Europe;"Duncker und Humblot GmbH";"2016-2021";"Law (Q4); Public Administration (Q4)";"Social Sciences"
651;21100264819;"Vniversitas";journal;"00419060, 20111711";0,127;Q4;5;21;79;974;10;76;0,15;46,38;Colombia;Latin America;"Pontificia Universidad Javeriana";"2012-2022";"Law (Q4)";"Social Sciences"
652;5600153197;"Zeitschrift fur Rechtssoziologie";journal;"01740202, 23660392";0,127;Q4;4;14;43;712;8;41;0,17;50,86;Germany;Western Europe;"Walter de Gruyter GmbH";"2016-2022";"Law (Q4)";"Social Sciences"
653;25617;"Canadian yearbook of international law. Annuaire canadien de droit international, The";journal;"19250169, 00690058";0,126;Q4;9;21;44;617;12;44;0,16;29,38;United Kingdom;Western Europe;"Cambridge University Press";"1989, 1996-2002, 2004-2022";"Law (Q4); Political Science and International Relations (Q4)";"Social Sciences"
654;21101061459;"International Journal on Consumer Law and Practice";journal;"23472731";0,126;Q4;1;9;16;314;4;16;0,27;34,89;India;Asiatic Region;"National Law School of India University";"2021";"Law (Q4)";"Social Sciences"
655;21100905325;"Italian Law Journal";journal;"24212156";0,126;Q4;3;0;99;0;10;98;0,10;0,00;Italy;Western Europe;"Edizioni Scientifiche Italiane SpA";"2018-2021";"Cultural Studies (Q3); Law (Q4)";"Social Sciences"
656;21101020095;"Krytyka Prawa";journal;"24507938, 20801084";0,126;Q4;2;56;135;1276;13;119;0,10;22,79;Poland;Eastern Europe;"Kozminski University";"2020-2022";"Law (Q4)";"Social Sciences"
657;15455;"Louisiana Law Review";journal;"00246859";0,126;Q4;16;17;92;3634;17;80;0,21;213,76;United States;Northern America;"Louisiana State University";"1974-1976, 1979-1980, 1983-1985, 1991-1993, 1997-2022";"Law (Q4)";"Social Sciences"
658;21101082209;"Revista Brasileira de Ciencias Policiais";journal;"23186917, 21780013";0,126;Q4;1;48;40;1606;4;35;0,09;33,46;Brazil;Latin America;"National Police Academy";"2022";"Law (Q4); Political Science and International Relations (Q4); Safety Research (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)";"Social Sciences"
659;21100793925;"Nordic Journal of Human Rights";journal;"1891814X, 18918131";0,125;Q4;12;33;64;216;36;59;0,30;6,55;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2022";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Social Sciences"
660;21100920038;"Revista de Bioetica y Derecho";journal;"18865887";0,125;Q4;3;35;144;921;31;135;0,16;26,31;Spain;Western Europe;"Universitat de Barcelona, Observatorio de Bioetica y Derecho";"2019-2021";"Law (Q4); Sociology and Political Science (Q4)";"Social Sciences"
661;21100455574;"Russian Law Journal";journal;"23123605, 23098678";0,125;Q4;7;26;76;538;27;69;0,40;20,69;Russian Federation;Eastern Europe;"Supporting Academic Initiatives Foundation";"2013-2021";"Law (Q4)";"Social Sciences"
662;21101060912;"Zeitschrift fur Europarechtliche Studien";journal;"1435439X";0,124;Q4;1;45;27;991;3;25;0,11;22,02;Germany;Western Europe;"Nomos Verlagsgesellschaft mbH und Co";"2021-2022";"Law (Q4)";"Social Sciences"
663;21101037907;"African Human Rights Law Journal";journal;"19962096, 1609073X";0,123;Q4;3;24;129;10;36;119;0,31;0,42;South Africa;Africa;"Pretoria University Law Press";"2020-2022";"Law (Q4); Social Sciences (miscellaneous) (Q4)";"Social Sciences"
664;21101093362;"Archiwum Filozofii Prawa i Filozofii Spolecznej";journal;"20823304";0,123;Q4;2;26;104;741;7;101;0,09;28,50;Poland;Eastern Europe;"Polish Section of the International Association for Philosophy of Law and Social Philosophy (IVR)";"2022";"Law (Q4); Social Sciences (miscellaneous) (Q4)";"Social Sciences"
665;21100887515;"Journal of Private International Law";journal;"17578418, 17441048";0,123;Q4;14;20;71;0;13;71;0,17;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2005-2022";"Law (Q4); Political Science and International Relations (Q4)";"Social Sciences"
666;21101061921;"Krakowskie Studia z Historii Panstwa i Prawa";journal;"20844131, 20844115";0,123;Q4;2;34;73;1046;6;72;0,08;30,76;Poland;Eastern Europe;"Jagiellonian University Publishing House";"2021-2022";"History (Q3); Law (Q4); Political Science and International Relations (Q4); Public Administration (Q4)";"Arts and Humanities; Social Sciences"
667;21101043440;"Polish Yearbook of International Law";journal;"0554498X";0,123;Q4;1;0;45;0;4;43;0,09;0,00;Poland;Eastern Europe;"Institute of Law Studies of the Polish Academy of Sciences";"2020";"Law (Q4)";"Social Sciences"
668;21100236610;"Rechtsgeschichte";journal;"16194993, 21959617";0,123;Q4;6;47;207;890;8;199;0,03;18,94;Germany;Western Europe;"Klostermann";"2011-2021";"History (Q3); Law (Q4)";"Arts and Humanities; Social Sciences"
669;21100948930;"University of Bologna Law Review";journal;"25316133";0,123;Q4;4;7;31;379;4;29;0,05;54,14;Italy;Western Europe;"University of Bologna";"2016-2021";"Law (Q4)";"Social Sciences"
670;21100868866;"African Journal of International and Comparative Law";journal;"09548890, 17551609";0,122;Q4;10;23;103;569;19;97;0,19;24,74;United Kingdom;Western Europe;"Edinburgh University Press";"2005-2022";"Law (Q4)";"Social Sciences"
671;21100446425;"Czech Yearbook of Public and Private International Law";book series;"18050565, 18050999";0,122;Q4;4;0;101;0;8;90;0,13;0,00;Czech Republic;Eastern Europe;"Czech Society of International Law";"2015-2021";"Law (Q4)";"Social Sciences"
672;21100239836;"Digital Evidence and Electronic Signature Law Review";journal;"17564611";0,122;Q4;4;9;22;29;9;16;0,53;3,22;United Kingdom;Western Europe;"";"2012, 2020-2022";"Law (Q4)";"Social Sciences"
673;21100777217;"Problema";journal;"20074387";0,122;Q4;3;13;53;487;5;51;0,06;37,46;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"2016-2021";"Law (Q4)";"Social Sciences"
674;11800154588;"Security and Human Rights";journal;"18747337";0,122;Q4;10;8;25;144;8;25;0,32;18,00;Netherlands;Western Europe;"Martinus Nijhoff Publishers";"2008-2017, 2020-2022";"Law (Q4); Political Science and International Relations (Q4)";"Social Sciences"
675;21101019367;"Competition Law Journal";journal;"25165771, 14769085";0,121;Q4;2;17;64;2;8;61;0,05;0,12;United Kingdom;Western Europe;"Edward Elgar Publishing Ltd.";"2018-2022";"Law (Q4)";"Social Sciences"
676;21100902690;"Credit and Capital Markets";journal;"21991227, 21991235";0,121;Q4;5;16;70;664;9;65;0,09;41,50;Germany;Western Europe;"Duncker und Humblot GmbH";"2016-2022";"Business, Management and Accounting (miscellaneous) (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4); Law (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
677;21100244605;"Cuestiones Constitucionales";journal;"14059193";0,121;Q4;6;35;97;1335;9;97;0,06;38,14;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"2013-2021";"Law (Q4); Sociology and Political Science (Q4)";"Social Sciences"
678;21100970293;"European Procurement and Public Private Partnership Law Review";journal;"21947384, 21947376";0,121;Q4;2;31;106;0;13;74;0,09;0,00;Germany;Western Europe;"Lexxion Verlagsgesellschaft mbH";"2019-2022";"Economics, Econometrics and Finance (miscellaneous) (Q4); Law (Q4)";"Economics, Econometrics and Finance; Social Sciences"
679;21100305002;"Janus.net";journal;"16477251";0,121;Q4;4;38;83;1383;14;79;0,18;36,39;Portugal;Western Europe;"OBSERVARE - Observatorio de Relacoes Exteriores (Observatory for External Relations)";"2014-2020";"Law (Q4); Political Science and International Relations (Q4)";"Social Sciences"
680;21100940535;"Journal of Religion and Violence";journal;"21596808";0,121;Q4;2;5;43;320;8;37;0,10;64,00;United States;Northern America;"Philosophy Documentation Center";"2019-2021";"Religious Studies (Q3); Law (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
681;19157;"South African law journal";journal;"00382388";0,121;Q4;3;0;94;0;18;82;0,25;0,00;South Africa;Africa;"Juta &amp; Co. Ltd.";"1977-1978, 1997, 2001-2002, 2019-2021";"Law (Q4)";"Social Sciences"
682;21100933962;"Age of Human Rights Journal";journal;"23409592";0,120;Q4;4;40;71;1807;16;71;0,22;45,18;Spain;Western Europe;"Universidad de Jaen";"2013-2022";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Social Sciences"
683;21100902912;"European Yearbook of Minority Issues";journal;"15707865, 22116117";0,120;Q4;10;13;32;225;5;29;0,09;17,31;Netherlands;Western Europe;"Brill Academic Publishers";"2001, 2004-2005, 2008, 2010-2022";"Cultural Studies (Q3); Anthropology (Q4); Geography, Planning and Development (Q4); Law (Q4); Sociology and Political Science (Q4)";"Social Sciences"
684;21100211321;"Journal of East Asia and International Law";journal;"19769229";0,120;Q4;7;23;69;156;12;58;0,18;6,78;South Korea;Asiatic Region;"Yijun Institute of International Law";"2011-2022";"Law (Q4)";"Social Sciences"
685;23370;"Journal of Environmental Law and Litigation";journal;"10490280";0,119;Q4;12;0;30;0;6;27;0,16;0,00;United States;Northern America;"University of Oregon";"1996-2021";"Geography, Planning and Development (Q4); Law (Q4); Management, Monitoring, Policy and Law (Q4)";"Environmental Science; Social Sciences"
686;21100890298;"Journal of the Australasian Tax Teachers Association";journal;"1832911X";0,119;Q4;4;0;32;0;9;28;0,15;0,00;Australia;Pacific Region;"Australasian Tax Teachers' Association";"2018-2021";"Accounting (Q4); Finance (Q4); Law (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
687;21100218075;"Microwave Review";journal;"14505835";0,119;Q4;7;12;45;248;9;41;0,24;20,67;Serbia;Eastern Europe;"Society for Microwave Technique, Technologies and Systems and Serbia and Montenegro IEEE MTT-S Chapter";"2012-2022";"Electrical and Electronic Engineering (Q4); Law (Q4)";"Engineering; Social Sciences"
688;21100330726;"NTUT Journal of Intellectual Property Law and Management";journal;"22266771";0,119;Q4;3;1;39;13;8;36;0,11;13,00;Taiwan;Asiatic Region;"National Taipei University of Technology";"2012-2021";"Business and International Management (Q4); Law (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Social Sciences"
689;5700161424;"Asia Pacific Journal on Human Rights and the Law";journal;"13881906, 15718158";0,118;Q4;11;13;25;653;5;25;0,19;50,23;Netherlands;Western Europe;"Martinus Nijhoff Publishers";"2000-2022";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Social Sciences"
690;21101054424;"Contemporary Southeastern Europe";journal;"23103612";0,118;Q4;1;10;12;400;2;12;0,17;40,00;Austria;Western Europe;"University of Graz";"2021-2022";"Arts and Humanities (miscellaneous) (Q3); Cultural Studies (Q3); History (Q3); Anthropology (Q4); Gender Studies (Q4); Law (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
691;21101067418;"Revista de Direito da Faculdade Guanambi";journal;"24476536";0,118;Q4;2;0;52;0;4;52;0,06;0,00;Brazil;Latin America;"Centro Universitario Guanambi (UniFG)";"2021";"Law (Q4); Social Sciences (miscellaneous) (Q4)";"Social Sciences"
692;21101050073;"Revista Espanola de Investigacion Criminologica";journal;"16969219";0,118;Q4;1;14;20;674;4;19;0,20;48,14;Spain;Western Europe;"Sociedad Espanola de Investigacion Criminologica";"2021-2022";"Law (Q4); Social Sciences (miscellaneous) (Q4)";"Social Sciences"
693;21101052922;"Arab Journal of Forensic Sciences and Forensic Medicine";journal;"16586786, 16586794";0,117;Q4;2;17;88;471;12;85;0,14;27,71;Saudi Arabia;Middle East;"Naif University Publishing House";"2021-2022";"Biochemistry (medical) (Q4); Epidemiology (Q4); Law (Q4); Pathology and Forensic Medicine (Q4); Toxicology (Q4)";"Medicine; Pharmacology, Toxicology and Pharmaceutics; Social Sciences"
694;7100153146;"Review of Central and East European Law";journal;"09259880, 15730352";0,117;Q4;17;16;58;662;15;57;0,23;41,38;Netherlands;Western Europe;"Martinus Nijhoff Publishers";"1975, 1977-1981, 1983-2022";"Classics (Q3); History (Q3); Philosophy (Q3); Law (Q4)";"Arts and Humanities; Social Sciences"
695;21100868098;"Rivista Italiana di Medicina Legale e del Diritto in Campo Sanitario";journal;"24992860, 24992852";0,117;Q4;5;0;43;0;11;43;0,22;0,00;Italy;Western Europe;"Giuffre Editore SpA";"2014-2021";"Law (Q4); Medicine (miscellaneous) (Q4); Pathology and Forensic Medicine (Q4)";"Medicine; Social Sciences"
696;21100426623;"Brill's Arab and Islamic Laws Series";book series;"18712894";0,116;Q4;3;0;15;0;0;2;0,00;0,00;Netherlands;Western Europe;"Brill Academic Publishers";"2008-2009, 2011-2013, 2015, 2017-2018";"Law (Q4)";"Social Sciences"
697;21100920133;"Casopis pro Pravni Vedu a Praxi";journal;"18052789, 12109126";0,116;Q4;3;34;108;1585;4;105;0,06;46,62;Czech Republic;Eastern Europe;"Masaryk University Press";"2018-2022";"Law (Q4)";"Social Sciences"
698;13201;"Communication Law and Policy";journal;"15326926, 10811680";0,116;Q4;12;12;78;0;22;72;0,25;0,00;United States;Northern America;"Routledge";"2005-2022";"Communication (Q4); Law (Q4)";"Social Sciences"
699;21101034030;"Cuadernos de Derecho Transnacional";journal;"19894570";0,116;Q4;4;130;265;1420;145;258;0,55;10,92;Spain;Western Europe;"Universidad Carlos III de Madrid";"2020-2022";"Law (Q4)";"Social Sciences"
700;21101032706;"European Competition and Regulatory Law Review";journal;"25103148";0,116;Q4;4;49;161;257;12;103;0,08;5,24;Germany;Western Europe;"Lexxion Verlagsgesellschaft mbH";"2017-2022";"Economics, Econometrics and Finance (miscellaneous) (Q4); Law (Q4)";"Economics, Econometrics and Finance; Social Sciences"
701;21101061457;"European Pharmaceutical Law Review";journal;"25117157, 25117181";0,116;Q4;2;15;66;0;8;38;0,19;0,00;Germany;Western Europe;"Lexxion Verlagsgesellschaft mbH";"2021-2022";"Drug Discovery (Q4); Law (Q4); Pharmaceutical Science (Q4); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q4)";"Pharmacology, Toxicology and Pharmaceutics; Social Sciences"
702;21100405698;"International Studies in Human Rights";book series;"09244751";0,116;Q4;10;0;54;0;2;2;0,04;0,00;Netherlands;Western Europe;"Brill Academic Publishers";"2006-2012, 2014-2021";"Law (Q4); Political Science and International Relations (Q4)";"Social Sciences"
703;21100881665;"Journal of Land and Development";journal;"23340053, 23340045";0,116;Q4;3;0;3;0;0;2;0,00;0,00;United States;Northern America;"University of Baltimore School of Law";"2012-2019";"Environmental Science (miscellaneous) (Q4); Geography, Planning and Development (Q4); Law (Q4); Management, Monitoring, Policy and Law (Q4)";"Environmental Science; Social Sciences"
704;21100407207;"Medieval Law and Its Practice";book series;"18738176";0,116;Q4;6;0;40;0;0;2;0,00;0,00;Netherlands;Western Europe;"Brill Academic Publishers";"2008-2017, 2021";"Arts and Humanities (miscellaneous) (Q3); History (Q3); Law (Q4)";"Arts and Humanities; Social Sciences"
705;4400151416;"Muslim World Journal of Human Rights";journal;"15544419";0,116;Q4;12;6;15;253;6;15;0,50;42,17;Germany;Western Europe;"Walter de Gruyter GmbH";"2006-2007, 2009-2022";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Social Sciences"
706;21100405645;"Publications on Ocean Development";book series;"09241922";0,116;Q4;9;0;104;0;41;2;0,42;0,00;Netherlands;Western Europe;"Brill Academic Publishers";"2006-2009, 2011-2017, 2019-2021";"Law (Q4); Management, Monitoring, Policy and Law (Q4); Political Science and International Relations (Q4)";"Environmental Science; Social Sciences"
707;21634;"Revija za Kriminalistiko in Kriminologijo";journal;"0034690X";0,116;Q4;9;6;15;186;9;14;0,17;31,00;Slovenia;Eastern Europe;"Republiski sekretariat za notranje zadeve SR Slovenije";"1981, 2011-2019, 2021-2022";"Law (Q4); Pathology and Forensic Medicine (Q4); Social Psychology (Q4)";"Medicine; Psychology; Social Sciences"
708;21101062822;"Revista Juridica Portucalense";journal;"21835705, 21835799";0,116;Q4;1;62;49;1597;3;41;0,08;25,76;Portugal;Western Europe;"Universidade Portucalense";"2021-2022";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Social Sciences"
709;17700156406;"Revue Internationale de Droit Economique";journal;"10108831, 17821525";0,116;Q4;8;6;54;458;2;54;0,04;76,33;Belgium;Western Europe;"Boeck Universite";"2001-2021";"Business and International Management (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4); Law (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
710;21100406911;"Studies in Islamic Law and Society";book series;"13841130";0,116;Q4;5;0;72;0;2;2;0,02;0,00;Netherlands;Western Europe;"Brill Academic Publishers";"2007, 2010-2015, 2017-2018, 2020";"Religious Studies (Q3); Law (Q4)";"Arts and Humanities; Social Sciences"
711;21101017736;"Internet Journal of Restorative Justice";journal;"20562985";0,115;Q4;1;6;19;299;2;18;0,11;49,83;United Kingdom;Western Europe;"RJ4All Publications";"2020-2022";"Law (Q4)";"Social Sciences"
712;21100932471;"Singapore Academy of Law Journal";journal;"02182009";0,115;Q4;2;9;55;301;5;54;0,13;33,44;Singapore;Asiatic Region;"Academy Publishing";"2019-2022";"Law (Q4)";"Social Sciences"
713;21100981040;"Adelaide Law Review";journal;"00651915";0,114;Q4;2;21;109;0;16;100;0,15;0,00;Australia;Pacific Region;"University of Adelaide";"2019-2021";"Law (Q4)";"Social Sciences"
714;21101071253;"Australian Year Book of International Law";journal;"00847658";0,114;Q4;1;17;20;676;1;20;0,05;39,76;Australia;Pacific Region;"Brill Academic Publishers";"2021";"Law (Q4)";"Social Sciences"
715;21100944569;"Comparative Law Review";journal;"08669449, 23917644";0,114;Q4;3;18;46;0;13;43;0,16;0,00;Poland;Eastern Europe;"Nicolaus Copernicus University";"2017-2021";"Law (Q4)";"Social Sciences"
716;21101049052;"Jindal Global Law Review";journal;"09752498, 23644869";0,114;Q4;3;20;36;0;8;31;0,22;0,00;Germany;Western Europe;"Springer Science and Business Media B.V.";"2015-2017, 2020-2022";"Law (Q4); Sociology and Political Science (Q4)";"Social Sciences"
717;21101079410;"Kutafin Law Review";journal;"27130525, 27130533";0,114;Q4;1;34;34;732;2;34;0,06;21,53;Russian Federation;Eastern Europe;"Kutafin Moscow State Law University (MSAL)";"2021-2022";"Law (Q4)";"Social Sciences"
718;5700168402;"Law and Literature";journal;"1535685X";0,114;Q4;13;32;77;0;19;73;0,29;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1989-2003, 2007, 2010-2022";"Law (Q4)";"Social Sciences"
719;21100934921;"Publicum";journal;"24477982";0,114;Q4;1;0;37;0;7;29;0,07;0,00;Brazil;Latin America;"Universidade do Estado do Rio de Janeiro";"2019-2020";"Law (Q4)";"Social Sciences"
720;21100216568;"Revista d'Estudis Autonomics i Federals";journal;"18862632";0,114;Q4;6;12;37;408;7;36;0,15;34,00;Spain;Western Europe;"Institut d'Estudis Autonomics";"2012-2022";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Social Sciences"
721;21101093539;"Indonesian Journal of International Law";journal;"23565527, 16935594";0,113;Q4;2;15;75;835;12;75;0,15;55,67;Indonesia;Asiatic Region;"Center for International Law Studies, Faculty of Law, Universitas Indonesia";"2019-2022";"Law (Q4)";"Social Sciences"
722;13413;"Legal Reference Services Quarterly";journal;"0270319X, 1540949X";0,113;Q4;7;20;26;0;5;26;0,06;0,00;United States;Northern America;"Taylor and Francis Ltd.";"1981-2022";"Law (Q4); Library and Information Sciences (Q4)";"Social Sciences"
723;17700155708;"Revue Internationale de Droit Penal";journal;"19516312, 02235404";0,113;Q4;9;0;79;0;7;75;0,07;0,00;Belgium;Western Europe;"Maklu Publishers";"2001-2021";"Law (Q4); Political Science and International Relations (Q4)";"Social Sciences"
724;21100944126;"European State Aid Law Quarterly";journal;"16195272, 21908184";0,112;Q4;4;0;198;0;24;123;0,18;0,00;Germany;Western Europe;"Lexxion Verlagsgesellschaft mbH";"2019-2021";"Development (Q4); Law (Q4); Public Administration (Q4)";"Social Sciences"
725;21101021403;"Mexican Law Review";journal;"18700578, 24485306";0,112;Q4;2;11;41;611;8;41;0,19;55,55;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"2019-2022";"Law (Q4)";"Social Sciences"
726;21101021456;"Revista de Pensamiento Estrategico y Seguridad CISDE";journal;"25298763";0,112;Q4;4;12;26;504;3;21;0,12;42,00;Spain;Western Europe;"United Academic Journals (UA Journals)";"2020-2022";"History (Q3); Law (Q4); Political Science and International Relations (Q4); Safety Research (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
727;21101023658;"Tsinghua China Law Review";journal;"21602379, 21518904";0,112;Q4;1;0;22;0;2;22;0,09;0,00;China;Asiatic Region;"Tsinghua University Press";"2020-2021";"Law (Q4)";"Social Sciences"
728;5800157711;"Archiv fur Rechts- und Sozialphilosophie";journal;"00012343";0,111;Q4;5;32;92;1497;10;91;0,12;46,78;Germany;Western Europe;"Franz Steiner Verlag Wiesbaden GmbH";"2011-2022";"Philosophy (Q3); Law (Q4)";"Arts and Humanities; Social Sciences"
729;5800172268;"Boletin Mexicano de Derecho Comparado";journal;"00418633";0,111;Q4;7;1;142;24;11;134;0,07;24,00;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1991, 2009-2021";"Law (Q4)";"Social Sciences"
730;21100831020;"Civilistica.com";journal;"23168374";0,111;Q4;2;16;153;507;5;150;0,02;31,69;Brazil;Latin America;"";"2017-2021";"Law (Q4)";"Social Sciences"
731;21486;"European human rights law review";journal;"13611526";0,111;Q4;4;52;153;104;11;94;0,07;2,00;United Kingdom;Western Europe;"Sweet &amp; Maxwell Ltd.";"1998, 2001, 2003, 2020-2022";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Social Sciences"
732;19700182652;"Journal of Tort Law";journal;"19329148";0,111;Q4;8;7;44;95;4;39;0,12;13,57;Germany;Western Europe;"Walter de Gruyter GmbH";"2010-2022";"Law (Q4)";"Social Sciences"
733;21101039229;"Revista de Direito";journal;"25270389, 18068790";0,111;Q4;1;23;47;712;4;47;0,09;30,96;Brazil;Latin America;"Universidade Federal De Vicosa";"2021-2022";"Law (Q4)";"Social Sciences"
734;21100812584;"Revista Republicana";journal;"19094450, 22565027";0,111;Q4;7;20;58;811;9;58;0,20;40,55;Colombia;Latin America;"Corporacion Universitaria Republicana";"2016-2022";"Law (Q4); Sociology and Political Science (Q4)";"Social Sciences"
735;21101033127;"Utrecht Journal of International and European Law";journal;"20535341";0,111;Q4;4;5;34;153;9;30;0,26;30,60;United Kingdom;Western Europe;"Ubiquity Press";"2020-2022";"Law (Q4)";"Social Sciences"
736;21100841277;"Archivio Penale";journal;"00040304, 23849479";0,110;Q4;3;116;385;2952;3;379;0,01;25,45;Italy;Western Europe;"Pisa University Press";"2017-2022";"Law (Q4)";"Social Sciences"
737;21100451314;"Chinese and Comparative Law Series";book series;"22134875";0,110;Q4;3;1;17;0;0;3;0,00;0,00;Netherlands;Western Europe;"Brill Academic Publishers";"2012, 2017-2018, 2022";"Law (Q4); Sociology and Political Science (Q4)";"Social Sciences"
738;21100276218;"Ecclesiastical Law Journal";journal;"0956618X, 17518539";0,110;Q4;16;47;114;397;9;86;0,10;8,45;United Kingdom;Western Europe;"Cambridge University Press";"1987-2022";"Religious Studies (Q3); Law (Q4)";"Arts and Humanities; Social Sciences"
739;110097;"Food and Drug Law Journal";journal;"1064590X";0,110;Q4;23;6;3;364;0;3;0,00;60,67;United States;Northern America;"Food and Drug Law Institute";"1992-2018, 2021";"Law (Q4); Medicine (miscellaneous) (Q4); Pharmacology (Q4); Public Health, Environmental and Occupational Health (Q4)";"Medicine; Pharmacology, Toxicology and Pharmaceutics; Social Sciences"
740;86679;"Issues in Legal Scholarship";journal;"15398323";0,110;Q4;5;0;3;0;0;3;0,00;0,00;Germany;Western Europe;"Walter de Gruyter GmbH";"2004-2006, 2008-2009, 2011, 2013-2019";"Law (Q4)";"Social Sciences"
741;21101061829;"Law, Environment and Development Journal";journal;"17465893";0,110;Q4;1;0;13;0;3;12;0,23;0,00;United Kingdom;Western Europe;"University of London";"2021";"Geography, Planning and Development (Q4); Law (Q4); Management, Monitoring, Policy and Law (Q4)";"Environmental Science; Social Sciences"
742;21100396382;"Materiali per una Storia della Cultura Giuridica";journal;"11209607";0,110;Q4;4;24;91;1228;5;90;0,04;51,17;Italy;Western Europe;"Societa Editrice Il Mulino";"2015-2022";"Law (Q4); Sociology and Political Science (Q4)";"Social Sciences"
743;5800171010;"Oxford University Commonwealth Law Journal";journal;"14729342";0,110;Q4;5;11;46;98;7;43;0,16;8,91;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013-2022";"Law (Q4)";"Social Sciences"
744;21100868953;"Quinnipiac Law Review";journal;"10738606";0,110;Q4;1;0;3;0;0;3;0,00;0,00;United States;Northern America;"Quinnipiac University School of Law";"2016-2018, 2021";"Law (Q4)";"Social Sciences"
745;21100811503;"Revista de Estudos Constitucionais, Hermeneutica e Teoria do Direito";journal;"21752168";0,110;Q4;3;8;94;275;6;91;0,02;34,38;Brazil;Latin America;"Universidade do Vale do Rio dos Sinos";"2016-2021";"Law (Q4)";"Social Sciences"
