Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
622;21101052717;"Journal of Data Protection and Privacy";journal;"23981687, 23981679";0,123;Q4;2;31;31;1321;9;27;0,29;42,61;United Kingdom;Western Europe;"Henry Stewart Publications";"2020-2021";"Law (Q4); Management Information Systems (Q4); Marketing (Q4); Strategy and Management (Q4)"
623;21100330726;"NTUT Journal of Intellectual Property Law and Management";journal;"22266771";0,123;Q4;2;14;30;516;5;27;0,16;36,86;Taiwan;Asiatic Region;"National Taipei University of Technology";"2012-2021";"Business and International Management (Q4); Law (Q4); Strategy and Management (Q4)"
624;21100400016;"Quaderni di Diritto e Politica Ecclesiastica";journal;"11220392";0,123;Q4;4;10;182;387;8;175;0,06;38,70;Italy;Western Europe;"Il Mulino publishing house";"2015-2021";"Religious Studies (Q3); Law (Q4)"
625;21100775934;"British Journal of American Legal Studies";journal;"20494092";0,122;Q4;4;16;45;469;6;45;0,09;29,31;Poland;Eastern Europe;"De Gruyter Open Ltd.";"2016-2021";"Law (Q4)"
626;23370;"Journal of Environmental Law and Litigation";journal;"10490280";0,122;Q4;12;0;22;0;5;20;0,27;0,00;United States;Northern America;"University of Oregon";"1996-2019";"Geography, Planning and Development (Q4); Law (Q4); Management, Monitoring, Policy and Law (Q4)"
627;21100832752;"Journal of International Arbitration";journal;"2212182X, 02558106";0,122;Q4;3;36;88;2798;16;87;0,12;77,72;United Kingdom;Western Europe;"Wolters Kluwer (UK) Ltd.";"2017-2021";"Law (Q4)"
628;11800154588;"Security and Human Rights";journal;"18747337";0,122;Q4;9;9;16;285;9;16;0,56;31,67;Netherlands;Western Europe;"Martinus Nijhoff Publishers";"2008-2017, 2020-2021";"Law (Q4); Political Science and International Relations (Q4)"
629;13131;"Columbia Journal of Law and Social Problems";journal;"00101923";0,121;Q4;11;0;34;0;13;34;0,32;0,00;United States;Northern America;"Columbia Law Review Association";"1973, 1975-1976, 1978, 1980, 1985-1986, 1989-1990, 1992-2020";"Law (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)"
630;25087;"Criminal Law Forum";journal;"10468374";0,121;Q4;22;14;49;50;24;47;0,44;3,57;Netherlands;Western Europe;"Springer Netherlands";"1989-1997, 1999-2002, 2004-2021";"Law (Q4)"
631;21101021411;"Regioni";journal;"2612050X, 03917576";0,121;Q4;2;36;71;684;8;59;0,11;19,00;Italy;Western Europe;"Societa Editrice Il Mulino";"2020-2021";"Law (Q4)"
632;21101037907;"African Human Rights Law Journal";journal;"19962096, 1609073X";0,120;Q4;2;26;36;436;6;33;0,17;16,77;South Africa;Africa;"Pretoria University Law Press";"2020-2021";"Law (Q4); Social Sciences (miscellaneous) (Q4)"
633;21100945716;"Croatian and Comparative Public Administration";journal;"18480357, 18492150";0,120;Q4;2;24;51;1215;15;51;0,29;50,63;Croatia;Eastern Europe;"Institute for Public Administration, Croatian and Comparative Public Administration";"2019-2021";"Law (Q4); Public Administration (Q4)"
634;4700152628;"Frontiers of Law in China";journal;"16733541, 16733428";0,120;Q4;6;6;62;224;8;51;0,08;37,33;China;Asiatic Region;"Higher Education Press";"2006-2021";"Law (Q4)"
635;21101049052;"Jindal Global Law Review";journal;"09752498, 23644869";0,120;Q4;2;24;12;0;1;10;0,08;0,00;Germany;Western Europe;"Springer Science and Business Media B.V.";"2015-2017, 2020-2021";"Law (Q4); Sociology and Political Science (Q4)"
636;21100211321;"Journal of East Asia and International Law";journal;"19769229";0,120;Q4;6;22;68;4;16;60;0,17;0,18;South Korea;Asiatic Region;"Yijun Institute of International Law";"2011-2021";"Law (Q4)"
637;5000154506;"Neohelicon";journal;"15882810, 03244652";0,120;Q4;10;54;148;1739;22;141;0,15;32,20;Netherlands;Western Europe;"Springer Netherlands";"1973-2002, 2006-2021";"Arts and Humanities (miscellaneous) (Q3); Law (Q4); Social Sciences (miscellaneous) (Q4)"
638;21100777217;"Problema";journal;"20074387";0,120;Q4;2;18;46;671;4;42;0,09;37,28;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"2016-2021";"Law (Q4)"
639;27253;"Supreme Court Review";book series;"21582459, 00819557";0,120;Q4;18;9;31;0;6;20;0,29;0,00;United States;Northern America;"University of Chicago";"1992, 1997, 1999-2003, 2005-2011, 2013, 2015-2020";"Law (Q4)"
640;5800157711;"Archiv fur Rechts- und Sozialphilosophie";journal;"00012343";0,119;Q4;4;30;84;1735;8;83;0,06;57,83;Germany;Western Europe;"Franz Steiner Verlag Wiesbaden GmbH";"2011-2021";"Philosophy (Q3); Law (Q4)"
641;7200153132;"Commonwealth Law Bulletin";journal;"03050718, 17505976";0,119;Q4;7;31;103;0;19;101;0,24;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1974-2021";"Law (Q4)"
642;21100901578;"Indonesian Journal of International and Comparative Law";journal;"2338770X, 23387602";0,119;Q4;2;11;56;50;6;50;0,13;4,55;Indonesia;Asiatic Region;"Institute for Migrant Rights Press";"2018-2021";"Cultural Studies (Q3); Law (Q4); Sociology and Political Science (Q4)"
643;21100245722;"European Food and Feed Law Review";journal;"21908214, 18622720";0,118;Q4;8;30;178;4;29;98;0,14;0,13;Germany;Western Europe;"Lexxion";"2013-2021";"Food Science (Q4); Law (Q4)"
644;16264;"Journal of Legal Education";journal;"00222208";0,118;Q4;18;0;67;0;20;63;0,29;0,00;United States;Northern America;"Association of American Law Schools";"1988, 1996-2019";"Education (Q4); Law (Q4)"
645;21100229263;"Juridicas";journal;"17942918";0,118;Q4;3;16;74;687;12;69;0,15;42,94;Colombia;Latin America;"Universidad de Caldas";"2012-2021";"Law (Q4)"
646;21100232410;"Tilburg Law Review";journal;"22110046, 22112596";0,118;Q4;8;3;37;157;12;30;0,17;52,33;Netherlands;Western Europe;"Ubiquity Press";"2012-2020";"Law (Q4)"
647;21101027250;"Revista Chilena de Derecho Privado";journal;"07180233, 07188072";0,117;Q4;1;38;31;1462;3;30;0,10;38,47;Chile;Latin America;"Universidad Diego Portales";"2019-2021";"Law (Q4)"
648;21100811503;"Revista de Estudos Constitucionais, Hermeneutica e Teoria do Direito";journal;"21752168";0,117;Q4;2;15;96;673;10;91;0,15;44,87;Brazil;Latin America;"Universidade do Vale do Rio dos Sinos";"2016-2021";"Law (Q4)"
649;25617;"Canadian yearbook of international law. Annuaire canadien de droit international, The";journal;"19250169, 00690058";0,116;Q4;8;17;41;442;7;41;0,19;26,00;United Kingdom;Western Europe;"Cambridge University Press";"1989, 1996-2002, 2004-2021";"Law (Q4); Political Science and International Relations (Q4)"
650;21100935790;"Journal of Holocaust Research";journal;"25785656";0,116;Q4;2;18;44;0;9;39;0,20;0,00;United States;Northern America;"Taylor and Francis Inc.";"2019-2021";"History (Q3); Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
651;27777;"Medecine et Droit";journal;"12467391";0,116;Q4;7;23;68;332;9;63;0,15;14,43;France;Western Europe;"Elsevier Masson s.r.l.";"1995-2021";"Law (Q4); Medicine (miscellaneous) (Q4)"
652;21100812584;"Revista Republicana";journal;"19094450, 22565027";0,116;Q4;7;21;57;844;14;57;0,14;40,19;Colombia;Latin America;"Corporacion Universitaria Republicana";"2016-2021";"Law (Q4); Sociology and Political Science (Q4)"
653;21100426623;"Brill's Arab and Islamic Laws Series";book series;"18712894";0,115;Q4;3;0;2;0;0;2;0,00;0,00;Netherlands;Western Europe;"Brill Academic Publishers";"2008-2009, 2011-2013, 2015, 2017-2018";"Law (Q4)"
654;21100927252;"Diritto Pubblico";journal;"17218985, 26122464";0,115;Q4;2;0;51;0;4;51;0,08;0,00;Italy;Western Europe;"Societa Editrice Il Mulino";"2019-2020";"Law (Q4)"
655;21100944126;"European State Aid Law Quarterly";journal;"16195272, 21908184";0,115;Q4;2;60;138;1289;17;88;0,12;21,48;Germany;Western Europe;"Lexxion Verlagsgesellschaft mbH";"2019-2020";"Law (Q4)"
656;21101045764;"European Studies: The Review of European Law, Economics and Politics";journal;"24646695, 18058809";0,115;Q4;1;10;19;392;3;19;0,16;39,20;Czech Republic;Eastern Europe;"Czech Association for European Studies";"2020-2021";"Economics, Econometrics and Finance (miscellaneous) (Q4); Law (Q4); Political Science and International Relations (Q4)"
657;21101047935;"Hasanuddin Law Review";journal;"24429880, 24429899";0,115;Q4;3;17;74;497;12;74;0,26;29,24;Indonesia;Asiatic Region;"Faculty of Law, Universitas Hasanuddin";"2017-2021";"Law (Q4)"
658;21100940535;"Journal of Religion and Violence";journal;"21596808";0,115;Q4;2;8;29;321;3;25;0,10;40,13;United States;Northern America;"Philosophy Documentation Center";"2019-2021";"Religious Studies (Q3); Law (Q4); Sociology and Political Science (Q4)"
659;21100406327;"Legal Aspects of International Organization";book series;"09244883";0,115;Q4;8;0;2;0;0;2;0,00;0,00;Netherlands;Western Europe;"Brill Academic Publishers";"2006, 2009-2010, 2015-2016, 2018";"Law (Q4); Political Science and International Relations (Q4)"
660;21100405645;"Publications on Ocean Development";book series;"09241922";0,115;Q4;8;1;59;68;3;2;0,05;68,00;Netherlands;Western Europe;"Brill Academic Publishers";"2006-2009, 2011-2017, 2019-2021";"Law (Q4); Management, Monitoring, Policy and Law (Q4); Political Science and International Relations (Q4)"
661;21100407162;"Queen Mary Studies in International Law";book series;"18774822";0,115;Q4;5;1;55;565;4;2;0,08;565,00;Netherlands;Western Europe;"Brill Academic Publishers";"2010-2016, 2018-2021";"Law (Q4); Political Science and International Relations (Q4)"
662;19157;"South African law journal";journal;"00382388";0,115;Q4;2;0;61;0;10;51;0,16;0,00;South Africa;Africa;"Juta &amp; Co. Ltd.";"1977-1978, 1997, 2001-2002, 2019-2020";"Law (Q4)"
663;13413;"Legal Reference Services Quarterly";journal;"0270319X, 1540949X";0,114;Q4;7;6;32;0;5;32;0,25;0,00;United States;Northern America;"Taylor and Francis Ltd.";"1981-2021";"Law (Q4); Library and Information Sciences (Q4)"
664;21100235820;"McGill Journal of Law and Health";journal;"19204833, 19204825";0,114;Q4;4;3;19;17;8;18;0,40;5,67;Canada;Northern America;"Faculty of Law, McGill University";"2013-2020";"Health Policy (Q4); Law (Q4)"
665;21634;"Revija za Kriminalistiko in Kriminologijo";journal;"0034690X";0,114;Q4;8;0;24;0;9;20;0,78;0,00;Slovenia;Eastern Europe;"Republiski sekretariat za notranje zadeve SR Slovenije";"1981, 2011-2019";"Law (Q4); Pathology and Forensic Medicine (Q4); Social Psychology (Q4)"
666;21600;"Studies in East European Thought";journal;"15730948, 09259392";0,114;Q4;11;46;73;1456;10;64;0,08;31,65;Netherlands;Western Europe;"Springer Netherlands";"1993-2021";"Philosophy (Q3); Law (Q4); Social Sciences (miscellaneous) (Q4)"
667;12974;"University of Cincinnati Law Review";journal;"00096881";0,114;Q4;22;0;20;0;3;20;0,00;0,00;United States;Northern America;"University of Cincinnati College of Law";"1973, 1975-1978, 1980-1982, 1987, 1990, 1992-1994, 1996-2013, 2016, 2018";"Law (Q4)"
668;21100935074;"British Tax Review";journal;"00071870";0,113;Q4;2;59;67;243;7;31;0,10;4,12;United States;Northern America;"Thomson Reuters";"2019-2021";"Accounting (Q4); Finance (Q4); Law (Q4)"
669;21100405698;"International Studies in Human Rights";book series;"09244751";0,113;Q4;9;12;56;791;3;14;0,02;65,92;Netherlands;Western Europe;"Brill Academic Publishers";"2006-2012, 2014-2021";"Law (Q4); Political Science and International Relations (Q4)"
670;21100927902;"Oslo Law Review";journal;"23873299";0,113;Q4;2;5;29;522;8;27;0,28;104,40;Norway;Western Europe;"University of Oslo";"2019-2021";"Law (Q4)"
671;21100329301;"Queen Mary Journal of Intellectual Property";journal;"20459815, 20459807";0,113;Q4;7;27;82;72;10;72;0,16;2,67;United Kingdom;Western Europe;"Edward Elgar Publishing Ltd.";"2011-2021";"Law (Q4)"
672;19700167919;"Revue Internationale de Criminologie et de Police Technique et Scientifique";journal;"14244683";0,113;Q4;8;0;91;0;12;88;0,11;0,00;Switzerland;Western Europe;"Polymedia Meichtry SA";"2009-2020";"Law (Q4); Social Sciences (miscellaneous) (Q4)"
673;21101042441;"Campo Juridico";journal;"23174056, 23172444";0,112;Q4;1;14;17;472;2;17;0,12;33,71;Brazil;Latin America;"The Advanced Institute of Higher Education of Barreiras (IAESB)";"2019-2021";"Development (Q4); Law (Q4); Management, Monitoring, Policy and Law (Q4)"
674;21100831020;"Civilistica.com";journal;"23168374";0,112;Q4;2;17;108;661;6;103;0,07;38,88;Brazil;Latin America;"";"2017-2021";"Law (Q4)"
675;21101034030;"Cuadernos de Derecho Transnacional";journal;"19894570";0,112;Q4;2;133;132;196;14;127;0,11;1,47;Spain;Western Europe;"Universidad Carlos III de Madrid";"2020-2021";"Law (Q4)"
676;21100446425;"Czech Yearbook of Public and Private International Law";book series;"18050565, 18050999";0,112;Q4;4;25;102;100;8;67;0,08;4,00;Czech Republic;Eastern Europe;"Czech Society of International Law";"2015-2020";"Law (Q4)"
677;21100856607;"Diritto Pubblico Comparato ed Europeo";journal;"17204313";0,112;Q4;4;8;182;326;8;164;0,05;40,75;Italy;Western Europe;"Societa Editrice Il Mulino";"2017-2021";"Law (Q4)"
678;21100935900;"InterEULawEast";journal;"18493734, 18494439";0,112;Q4;1;18;32;639;3;30;0,09;35,50;Croatia;Eastern Europe;"University of Zagreb Faculty of Economics and Business";"2019-2021";"Law (Q4)"
679;5700168402;"Law and Literature";journal;"1535685X";0,112;Q4;12;46;76;0;13;72;0,22;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1989-2003, 2007, 2010-2021";"Law (Q4)"
680;21101021403;"Mexican Law Review";journal;"18700578, 24485306";0,112;Q4;1;13;28;92;3;28;0,11;7,08;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"2020";"Law (Q4)"
681;20383;"Temple Law Review";journal;"08998086";0,112;Q4;16;0;51;0;9;46;0,24;0,00;United States;Northern America;"Temple University";"1992-1994, 1996-2020";"Law (Q4)"
682;5700161424;"Asia Pacific Journal on Human Rights and the Law";journal;"13881906, 15718158";0,111;Q4;11;11;23;601;6;23;0,14;54,64;Netherlands;Western Europe;"Martinus Nijhoff Publishers";"2000-2021";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
683;21100838726;"Glossae";journal;"22552707";0,111;Q4;2;30;58;1703;4;54;0,02;56,77;Spain;Western Europe;"Institute for Social, Political and Legal Studies";"2017-2021";"History (Q3); Law (Q4)"
684;21100945717;"Journal of the Ottoman and Turkish Studies Association";journal;"23760702, 23760699";0,111;Q4;1;0;61;0;6;52;0,10;0,00;United States;Northern America;"Indiana University Press";"2019-2020";"Cultural Studies (Q3); History (Q3); Religious Studies (Q3); Anthropology (Q4); Law (Q4)"
685;28933;"Judicature";journal;"00225800";0,111;Q4;21;15;88;272;9;69;0,13;18,13;United States;Northern America;"American Judicature Society";"1990, 1996-2021";"Law (Q4)"
686;21101041503;"Revista Archai";journal;"21794960, 1984249X";0,111;Q4;1;28;49;902;1;48;0,02;32,21;Portugal;Western Europe;"Imprensa da Universidade de Coimbra";"2020-2021";"History (Q3); Philosophy (Q3); Visual Arts and Performing Arts (Q3); Archeology (Q4); Archeology (arts and humanities) (Q4); Law (Q4); Linguistics and Language (Q4); Social Sciences (miscellaneous) (Q4)"
687;21100264819;"Vniversitas";journal;"00419060, 20111711";0,111;Q4;4;9;81;505;7;77;0,10;56,11;Colombia;Latin America;"Pontificia Universidad Javeriana";"2012-2020";"Law (Q4)"
688;21100403807;"African Journal of Legal Studies";journal;"17087384, 22109730";0,110;Q4;10;32;36;1096;5;36;0,16;34,25;Netherlands;Western Europe;"Brill Academic Publishers";"2004-2006, 2008-2009, 2011-2021";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
689;17700155038;"Droit et Societe";journal;"19696973, 07693362";0,110;Q4;15;46;110;902;18;95;0,09;19,61;France;Western Europe;"Editions Juridiques Associees";"2001-2021";"Law (Q4); Sociology and Political Science (Q4)"
690;21100903063;"Edinburgh Law Review";journal;"17551692, 13649809";0,110;Q4;2;31;143;37;16;105;0,14;1,19;United Kingdom;Western Europe;"Edinburgh University Press";"2018-2021";"Cultural Studies (Q3); History (Q3); Law (Q4)"
691;21100881665;"Journal of Land and Development";journal;"23340053, 23340045";0,110;Q4;3;0;6;0;0;3;0,00;0,00;United States;Northern America;"University of Baltimore School of Law";"2012-2019";"Environmental Science (miscellaneous) (Q4); Geography, Planning and Development (Q4); Law (Q4); Management, Monitoring, Policy and Law (Q4)"
692;21100400180;"Law and Economics Yearly Review";journal;"20509014";0,110;Q4;5;0;39;0;8;37;0,17;0,00;United Kingdom;Western Europe;"Queen Mary University of London";"2012-2020";"Economics, Econometrics and Finance (miscellaneous) (Q4); Law (Q4)"
693;4100151521;"Studies in Law Politics and Society";book series;"10594337";0,110;Q4;9;12;47;734;23;8;0,65;61,17;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2003-2008, 2013-2021";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
694;21683;"University of Pittsburgh Law Review";journal;"00419915";0,110;Q4;16;23;66;3218;8;65;0,14;139,91;United States;Northern America;"University Library System, University of Pittsburgh";"1973-1975, 1977, 1979-1980, 1982, 1985, 1987, 1989, 1991, 1993-1994, 1996-2021";"Law (Q4)"
695;21100346214;"Yearbook of International Humanitarian Law";journal;"1574096X, 13891359";0,110;Q4;17;0;8;0;3;8;0,00;0,00;United Kingdom;Western Europe;"Cambridge University Press";"1998-2013, 2015-2016, 2018";"Law (Q4)"
696;21101059299;"Asian Journal of Legal Education";journal;"23482451, 23220058";0,109;Q4;2;14;35;0;2;33;0,00;0,00;United States;Northern America;"SAGE Publications Inc.";"2014-2021";"Development (Q4); Education (Q4); Law (Q4)"
697;21100824428;"Hungarian Journal of Legal Studies";journal;"24985473";0,109;Q4;4;0;57;0;7;54;0,11;0,00;Hungary;Eastern Europe;"Akademiai Kiado";"2016-2020";"Law (Q4)"
698;21100900135;"Journal of International and Comparative Law";journal;"23133775";0,109;Q4;1;16;63;108;7;61;0,10;6,75;Hong Kong;Asiatic Region;"Sweet and Maxwell-Thomson Reuters";"2018-2021";"Law (Q4)"
699;21100794007;"New York University Journal of Law and Liberty";journal;"19305044, 19324421";0,109;Q4;4;0;42;0;5;42;0,17;0,00;United States;Northern America;"Joe Christenden, Inc";"2016-2020";"Law (Q4)"
700;21100933962;"Age of Human Rights Journal";journal;"23409592";0,108;Q4;3;31;42;1572;6;42;0,13;50,71;Spain;Western Europe;"Universidad de Jaen";"2014-2021";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
701;21100407215;"Center for Oceans Law and Policy";book series;"18727158";0,108;Q4;8;0;23;0;3;22;0,00;0,00;Netherlands;Western Europe;"Brill Academic Publishers";"2006-2013, 2015-2018";"Law (Q4); Management, Monitoring, Policy and Law (Q4); Political Science and International Relations (Q4)"
702;21100905325;"Italian Law Journal";journal;"24212156";0,108;Q4;2;1;62;51;10;62;0,09;51,00;Italy;Western Europe;"Edizioni Scientifiche Italiane SpA";"2018-2020";"Cultural Studies (Q4); Law (Q4)"
703;21100829149;"Lawyer Quarterly";journal;"18058396, 1805840X";0,108;Q4;4;42;105;214;16;96;0,13;5,10;Czech Republic;Eastern Europe;"Institute of State and Law of the Academy of Sciences of the Czech Republic";"2017-2021";"Law (Q4)"
704;21101043440;"Polish Yearbook of International Law";journal;"0554498X";0,108;Q4;1;0;30;0;1;29;0,03;0,00;Poland;Eastern Europe;"Institute of Law Studies of the Polish Academy of Sciences";"2020";"Law (Q4)"
705;21100981040;"Adelaide Law Review";journal;"00651915";0,107;Q4;2;17;86;878;9;80;0,10;51,65;Australia;Pacific Region;"University of Adelaide";"2019-2021";"Law (Q4)"
706;21101019367;"Competition Law Journal";journal;"25165771, 14769085";0,107;Q4;2;21;57;131;15;53;0,30;6,24;United Kingdom;Western Europe;"Edward Elgar Publishing Ltd.";"2018-2021";"Law (Q4)"
707;21100901783;"Connections";journal;"18121098, 18122973";0,107;Q4;1;7;65;111;14;60;0,28;15,86;Germany;Western Europe;"Partnership for Peace Consortium of Defense Academies and Security Studies Institutes";"2018-2021";"Computer Networks and Communications (Q4); Law (Q4); Political Science and International Relations (Q4); Safety Research (Q4); Safety, Risk, Reliability and Quality (Q4)"
708;21100396382;"Materiali per una Storia della Cultura Giuridica";journal;"11209607";0,107;Q4;4;12;91;888;6;90;0,06;74,00;Italy;Western Europe;"Societa Editrice Il Mulino";"2015-2021";"Law (Q4); Sociology and Political Science (Q4)"
709;16175;"Medicine and Law";journal;"07231393";0,107;Q4;20;33;127;648;24;118;0,22;19,64;Israel;Middle East;"Yozmot Ltd";"1982-2021";"Health Policy (Q4); Law (Q4)"
710;21100405752;"Studies in EU External Relations";book series;"18750451";0,107;Q4;6;0;49;0;2;4;0,04;0,00;Netherlands;Western Europe;"Brill Academic Publishers";"2008, 2010, 2012-2017, 2019-2020";"Law (Q4); Political Science and International Relations (Q4)"
711;21100944569;"Comparative Law Review";journal;"08669449, 23917644";0,106;Q4;1;20;40;179;7;37;0,23;8,95;Poland;Eastern Europe;"Nicolaus Copernicus University";"2017-2020";"Law (Q4)"
712;21101032706;"European Competition and Regulatory Law Review";journal;"25103148";0,106;Q4;4;63;135;137;12;99;0,07;2,17;Germany;Western Europe;"Lexxion Verlagsgesellschaft mbH";"2017-2021";"Economics, Econometrics and Finance (miscellaneous) (Q4); Law (Q4)"
713;21486;"European human rights law review";journal;"13611526";0,106;Q4;3;68;85;354;11;52;0,13;5,21;United Kingdom;Western Europe;"Sweet &amp; Maxwell Ltd.";"1998, 2001, 2003, 2020-2021";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
714;21100223783;"Giornale di Storia Costituzionale";journal;"18277950, 15930793";0,106;Q4;4;15;96;55;25;85;0,11;3,67;Italy;Western Europe;"Edizioni Universita Macerata";"2012-2021";"History (Q3); Law (Q4)"
715;21101017736;"Internet Journal of Restorative Justice";journal;"20562985";0,106;Q4;1;4;13;159;2;12;0,15;39,75;United Kingdom;Western Europe;"RJ4All Publications";"2020";"Law (Q4)"
716;21100890298;"Journal of the Australasian Tax Teachers Association";journal;"1832911X";0,106;Q4;1;0;26;0;4;24;0,17;0,00;Australia;Pacific Region;"Australasian Tax Teachers' Association";"2018-2019";"Accounting (Q4); Finance (Q4); Law (Q4)"
717;21100406369;"Law in Eastern Europe";book series;"0075823X";0,106;Q4;5;0;19;0;5;18;0,00;0,00;Netherlands;Western Europe;"Brill Academic Publishers";"2007-2009, 2011-2012, 2014-2015, 2018";"Law (Q4); Political Science and International Relations (Q4)"
718;21100218075;"Microwave Review";journal;"14505835";0,106;Q4;6;15;43;429;6;37;0,10;28,60;Serbia;Eastern Europe;"Society for Microwave Technique, Technologies and Systems and Serbia and Montenegro IEEE MTT-S Chapter";"2012-2021";"Electrical and Electronic Engineering (Q4); Law (Q4)"
719;21100838839;"RevCEDOUA";journal;"08741093, 21822387";0,106;Q4;1;0;5;0;0;5;0,00;0,00;Portugal;Western Europe;"Imprensa da Universidade de Coimbra";"2017-2018";"Geography, Planning and Development (Q4); Law (Q4); Management, Monitoring, Policy and Law (Q4); Urban Studies (Q4)"
720;21101028387;"Review of Economic Research on Copyright Issues";journal;"16981359, 16981367";0,106;Q4;0;0;5;0;0;5;0,00;0,00;Spain;Western Europe;"";"2020";"Economics, Econometrics and Finance (miscellaneous) (Q4); Law (Q4); Management of Technology and Innovation (Q4)"
721;21100219313;"Asian Journal of WTO and International Health Law and Policy";journal;"18195164";0,105;Q4;8;0;14;0;3;13;0,00;0,00;Taiwan;Asiatic Region;"National Taiwan University Press : Asian Center for WTO &amp; International Health Law and Policy";"2009-2012, 2016-2019";"Economics and Econometrics (Q4); Health (social science) (Q4); Law (Q4); Political Science and International Relations (Q4); Public Health, Environmental and Occupational Health (Q4)"
722;21100854772;"Cuadernos Europeos de Deusto";journal;"11308354, 24453587";0,105;Q4;3;16;79;836;8;78;0,08;52,25;Spain;Western Europe;"Universidad de Deusto";"2017-2021";"History (Q3); Cultural Studies (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4); Law (Q4); Political Science and International Relations (Q4)"
723;21100970293;"European Procurement and Public Private Partnership Law Review";journal;"21947384, 21947376";0,105;Q4;2;0;31;0;3;24;0,10;0,00;Germany;Western Europe;"Lexxion Verlagsgesellschaft mbH";"2019";"Economics, Econometrics and Finance (miscellaneous) (Q4); Law (Q4)"
724;21100937581;"Genocide Studies International";journal;"22911855, 22911847";0,105;Q4;1;1;30;0;4;26;0,20;0,00;Canada;Northern America;"University of Toronto Press";"2018-2019, 2021";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
725;86679;"Issues in Legal Scholarship";journal;"15398323";0,105;Q4;5;0;6;0;2;6;0,67;0,00;Germany;Western Europe;"Walter de Gruyter GmbH";"2004-2006, 2008-2009, 2011, 2013-2019";"Law (Q4)"
726;21100837220;"Revista Latinoamericana de Derecho Social";journal;"24487899, 18704670";0,105;Q4;4;19;52;531;5;50;0,14;27,95;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"2016-2021";"Law (Q4)"
727;21100407408;"Journal of Law, Religion and State";journal;"22126465, 22124810";0,104;Q4;5;23;30;1117;8;30;0,15;48,57;Netherlands;Western Europe;"Brill Academic Publishers";"2012-2021";"Religious Studies (Q3); Law (Q4); Sociology and Political Science (Q4)"
728;21101021921;"Journal of Property Tax Assessment and Administration";journal;"15483606, 13571419";0,104;Q4;1;3;8;62;1;8;0,13;20,67;United States;Northern America;"International Association of Assessing Officers";"2019-2021";"Accounting (Q4); Economics and Econometrics (Q4); Finance (Q4); Law (Q4)"
729;18700156726;"Kriminologisches Journal";journal;"03411966";0,104;Q4;6;0;48;0;3;43;0,10;0,00;Germany;Western Europe;"Biomedical Research Press s.a.s.";"2009-2013, 2015-2019";"Law (Q4); Safety Research (Q4)"
730;146189;"Legal Ethics";journal;"1460728X, 17578450";0,104;Q4;12;5;26;0;4;20;0,23;0,00;United Kingdom;Western Europe;"Routledge";"1998-2021";"Law (Q4); Philosophy (Q4)"
731;21101021434;"Politica del Diritto";journal;"00323063, 19738161";0,104;Q4;1;0;12;0;1;12;0,08;0,00;Italy;Western Europe;"Societa Editrice Il Mulino";"2020";"Law (Q4)"
732;21100868953;"Quinnipiac Law Review";journal;"10738606";0,104;Q4;1;0;8;0;0;8;0,00;0,00;United States;Northern America;"Quinnipiac University School of Law";"2016-2018";"Law (Q4)"
733;21101047929;"Review of European and Russian Affairs";journal;"17184835";0,104;Q4;6;0;7;0;0;7;0,00;0,00;Canada;Northern America;"Carleton University - Centre for European Studies";"2005-2009, 2011-2013, 2015-2018";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
734;13038;"Cleveland state law review";journal;"00098876";0,103;Q4;5;22;61;5364;5;61;0,06;243,82;United States;Northern America;"Cleveland State University";"1974-1975, 1980, 1982-1983, 1990, 1995, 1997, 1999, 2001, 2016-2021";"Law (Q4)"
735;19700187505;"International Journal of Private Law";journal;"17536243, 17536235";0,103;Q4;5;5;18;345;2;18;0,10;69,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2015, 2017-2020";"Law (Q4)"
736;21100305002;"Janus.net";journal;"16477251";0,103;Q4;3;0;61;0;8;58;0,10;0,00;Portugal;Western Europe;"OBSERVARE - Observatorio de Relacoes Exteriores (Observatory for External Relations)";"2014-2020";"Law (Q4); Political Science and International Relations (Q4)"
